      #Energy        TDOS
     -23.04093       0.00000
     -23.02993       0.00000
     -23.01893       0.00000
     -23.00793       0.00000
     -22.99693       0.00000
     -22.98593       0.00000
     -22.97393       0.00000
     -22.96293       0.00000
     -22.95193       0.00000
     -22.94093       0.00000
     -22.92993       0.00000
     -22.91893       0.00000
     -22.90793       0.00000
     -22.89593       0.00000
     -22.88493       0.00000
     -22.87393       0.00000
     -22.86293       0.00000
     -22.85193       0.00000
     -22.84093       0.00000
     -22.82893       0.00000
     -22.81793       0.00000
     -22.80693       0.00000
     -22.79593       0.00000
     -22.78493       0.00000
     -22.77393       0.00000
     -22.76193       0.00000
     -22.75093       0.00000
     -22.73993       0.00000
     -22.72893       0.00000
     -22.71793       0.00000
     -22.70693       0.00000
     -22.69593       0.00000
     -22.68393       0.00000
     -22.67293       0.00000
     -22.66193       0.00000
     -22.65093       0.00000
     -22.63993       0.00000
     -22.62893       0.00000
     -22.61693       0.00000
     -22.60593       0.00000
     -22.59493       0.00000
     -22.58393       0.00000
     -22.57293       0.00000
     -22.56193       0.00000
     -22.55093       0.00000
     -22.53893       0.00000
     -22.52793       0.00000
     -22.51693       0.00000
     -22.50593       0.00000
     -22.49493       0.00000
     -22.48393       0.00000
     -22.47193       0.00000
     -22.46093       0.00000
     -22.44993       0.00000
     -22.43893       0.00000
     -22.42793       0.00000
     -22.41693       0.00000
     -22.40593       0.00000
     -22.39393       0.00000
     -22.38293       0.00000
     -22.37193       0.00000
     -22.36093       0.00000
     -22.34993       0.00000
     -22.33893       0.00000
     -22.32693       0.00000
     -22.31593       0.00000
     -22.30493       0.00000
     -22.29393       0.00000
     -22.28293       0.00000
     -22.27193       0.00000
     -22.25993       0.00000
     -22.24893       0.00000
     -22.23793       0.00000
     -22.22693       0.00000
     -22.21593       0.00000
     -22.20493       0.00000
     -22.19393       0.00000
     -22.18193       0.00000
     -22.17093       0.00000
     -22.15993       0.00000
     -22.14893       0.00000
     -22.13793       0.00000
     -22.12693       0.00000
     -22.11493       0.00000
     -22.10393       0.00000
     -22.09293       0.00000
     -22.08193       0.00000
     -22.07093       0.00000
     -22.05993       0.00000
     -22.04893       0.00000
     -22.03693       0.00000
     -22.02593       0.00000
     -22.01493       0.00000
     -22.00393       0.00000
     -21.99293       0.00000
     -21.98193       0.00000
     -21.96993       0.00000
     -21.95893       0.00000
     -21.94793       0.00000
     -21.93693       0.00000
     -21.92593       0.00000
     -21.91493       0.00000
     -21.90293       0.00000
     -21.89193       0.00000
     -21.88093       0.00000
     -21.86993       0.00000
     -21.85893       0.00000
     -21.84793       0.00000
     -21.83693       0.00000
     -21.82493       0.00000
     -21.81393       0.00000
     -21.80293       0.00000
     -21.79193       0.00000
     -21.78093       0.00000
     -21.76993       0.00000
     -21.75793       0.00000
     -21.74693       0.00000
     -21.73593       0.00000
     -21.72493       0.00000
     -21.71393       0.00000
     -21.70293       0.00000
     -21.69193       0.00000
     -21.67993       0.00000
     -21.66893       0.00000
     -21.65793       0.00000
     -21.64693       0.00000
     -21.63593       0.00000
     -21.62493       0.00000
     -21.61293       0.00000
     -21.60193       0.00000
     -21.59093       0.00000
     -21.57993       0.00000
     -21.56893       0.00000
     -21.55793       0.00000
     -21.54593       0.00000
     -21.53493       0.00000
     -21.52393       0.00000
     -21.51293       0.00000
     -21.50193       0.00000
     -21.49093       0.00000
     -21.47993       0.00000
     -21.46793       0.00000
     -21.45693       0.00000
     -21.44593       0.00000
     -21.43493       0.00000
     -21.42393       0.00000
     -21.41293       0.00000
     -21.40093       0.00000
     -21.38993       0.00000
     -21.37893       0.00000
     -21.36793       0.00000
     -21.35693       0.00000
     -21.34593       0.00000
     -21.33493       0.00000
     -21.32293       0.00000
