     #Energy     5&8_all
   -26.09793     0.00000
   -26.08693     0.00000
   -26.07593     0.00000
   -26.06493     0.00000
   -26.05293     0.00000
   -26.04193     0.00000
   -26.03093     0.00000
   -26.01993     0.00000
   -26.00893     0.00000
   -25.99793     0.00000
   -25.98693     0.00000
   -25.97493     0.00000
   -25.96393     0.00000
   -25.95293     0.00000
   -25.94193     0.00000
   -25.93093     0.00000
   -25.91993     0.00000
   -25.90793     0.00000
   -25.89693     0.00000
   -25.88593     0.00000
   -25.87493     0.00000
   -25.86393     0.00000
   -25.85293     0.00000
   -25.84193     0.00000
   -25.82993     0.00000
   -25.81893     0.00000
   -25.80793     0.00000
   -25.79693     0.00000
   -25.78593     0.00000
   -25.77493     0.00000
   -25.76293     0.00000
   -25.75193     0.00000
   -25.74093     0.00000
   -25.72993     0.00000
   -25.71893     0.00000
   -25.70793     0.00000
   -25.69593     0.00000
   -25.68493     0.00000
   -25.67393     0.00000
   -25.66293     0.00000
   -25.65193     0.00000
   -25.64093     0.00000
   -25.62993     0.00000
   -25.61793     0.00000
   -25.60693     0.00000
   -25.59593     0.00000
   -25.58493     0.00000
   -25.57393     0.00000
   -25.56293     0.00000
   -25.55093     0.00000
   -25.53993     0.00000
   -25.52893     0.00000
   -25.51793     0.00000
   -25.50693     0.00000
   -25.49593     0.00000
   -25.48493     0.00000
   -25.47293     0.00000
   -25.46193     0.00000
   -25.45093     0.00000
   -25.43993     0.00000
   -25.42893     0.00000
   -25.41793     0.00000
   -25.40593     0.00000
   -25.39493     0.00000
   -25.38393     0.00000
   -25.37293     0.00000
   -25.36193     0.00000
   -25.35093     0.00000
   -25.33993     0.00000
   -25.32793     0.00000
   -25.31693     0.00000
   -25.30593     0.00000
   -25.29493     0.00000
   -25.28393     0.00000
   -25.27293     0.00000
   -25.26093     0.00000
   -25.24993     0.00000
   -25.23893     0.00000
   -25.22793     0.00000
   -25.21693     0.00000
   -25.20593     0.00000
   -25.19393     0.00000
   -25.18293     0.00000
   -25.17193     0.00000
   -25.16093     0.00000
   -25.14993     0.00000
   -25.13893     0.00000
   -25.12793     0.00000
   -25.11593     0.00000
   -25.10493     0.00000
   -25.09393     0.00000
   -25.08293     0.00000
   -25.07193     0.00000
   -25.06093     0.00000
   -25.04893     0.00000
   -25.03793     0.00000
   -25.02693     0.00000
   -25.01593     0.00000
   -25.00493     0.00000
   -24.99393     0.00000
   -24.98293     0.00000
   -24.97093     0.00000
   -24.95993     0.00000
   -24.94893     0.00000
   -24.93793     0.00000
   -24.92693     0.00000
   -24.91593     0.00000
   -24.90393     0.00000
   -24.89293     0.00000
   -24.88193     0.00000
   -24.87093     0.00000
   -24.85993     0.00000
   -24.84893     0.00000
   -24.83693     0.00000
   -24.82593     0.00000
   -24.81493     0.00000
   -24.80393     0.00000
   -24.79293     0.00000
   -24.78193     0.00000
   -24.77093     0.00000
   -24.75893     0.00000
   -24.74793     0.00000
   -24.73693     0.00000
   -24.72593     0.00000
   -24.71493     0.00000
   -24.70393     0.00000
   -24.69193     0.00000
   -24.68093     0.00000
   -24.66993     0.00000
   -24.65893     0.00000
   -24.64793     0.00000
   -24.63693     0.00000
   -24.62593     0.00000
   -24.61393     0.00000
   -24.60293     0.00000
   -24.59193     0.00000
   -24.58093     0.00000
   -24.56993     0.00001
   -24.55893     0.00001
   -24.54693     0.00001
   -24.53593     0.00003
   -24.52493     0.00005
   -24.51393     0.00009
   -24.50293     0.00017
   -24.49193     0.00031
   -24.48093     0.00052
   -24.46893     0.00086
   -24.45793     0.00134
   -24.44693     0.00201
   -24.43593     0.00290
   -24.42493     0.00404
   -24.41393     0.00553
   -24.40193     0.00756
   -24.39093     0.01052
   -24.37993     0.01505
   -24.36893     0.02215
   -24.35793     0.03305
   -24.34693     0.04911
   -24.33493     0.07141
   -24.32393     0.10045
   -24.31293     0.13606
   -24.30193     0.17791
   -24.29093     0.22696
   -24.27993     0.28927
   -24.26893     0.38350
   -24.25693     0.55663
   -24.24593     0.91112
   -24.23493     1.64611
   -24.22393     3.09943
   -24.21293     5.76675
   -24.20193    10.25284
   -24.18993    17.13251
   -24.17893    26.75808
   -24.16793    39.08701
   -24.15693    53.63895
   -24.14593    69.56046
   -24.13493    85.82092
   -24.12393   101.24535
   -24.11193   114.44080
   -24.10093   123.86526
   -24.08993   128.14369
   -24.07893   126.46696
   -24.06793   119.33495
   -24.05693   108.36562
   -24.04493    95.81100
   -24.03393    83.65521
   -24.02293    72.83839
   -24.01193    63.20863
   -24.00093    53.96109
   -23.98993    44.47637
   -23.97793    34.72375
   -23.96693    25.33075
   -23.95593    17.12277
   -23.94493    10.74897
   -23.93393     6.41939
   -23.92293     3.95706
   -23.91193     2.97241
   -23.89993     3.04657
   -23.88893     3.82728
   -23.87793     5.05006
   -23.86693     6.51561
   -23.85593     8.06680
   -23.84493     9.57023
   -23.83293    10.90319
   -23.82193    11.92631
   -23.81093    12.49322
   -23.79993    12.46391
   -23.78893    11.74287
   -23.77793    10.36307
   -23.76693     8.50143
   -23.75493     6.44144
   -23.74393     4.48390
   -23.73293     2.85726
   -23.72193     1.66221
   -23.71093     0.88070
   -23.69993     0.42460
   -23.68793     0.18603
   -23.67693     0.07400
   -23.66593     0.02673
   -23.65493     0.00876
   -23.64393     0.00260
   -23.63293     0.00070
   -23.62093     0.00017
   -23.60993     0.00004
   -23.59893     0.00001
   -23.58793     0.00000
   -23.57693     0.00000
   -23.56593     0.00000
   -23.55493     0.00000
   -23.54293     0.00000
   -23.53193     0.00000
   -23.52093     0.00000
   -23.50993     0.00000
   -23.49893     0.00000
   -23.48793     0.00000
   -23.47593     0.00000
   -23.46493     0.00000
   -23.45393     0.00000
   -23.44293     0.00000
   -23.43193     0.00000
   -23.42093     0.00000
   -23.40993     0.00000
   -23.39793     0.00000
   -23.38693     0.00000
   -23.37593     0.00000
   -23.36493     0.00000
   -23.35393     0.00000
   -23.34293     0.00000
   -23.33093     0.00000
   -23.31993     0.00000
   -23.30893     0.00000
   -23.29793     0.00000
   -23.28693     0.00000
   -23.27593     0.00000
   -23.26493     0.00000
   -23.25293     0.00000
   -23.24193     0.00000
   -23.23093     0.00000
   -23.21993     0.00000
   -23.20893     0.00000
   -23.19793     0.00000
   -23.18593     0.00000
   -23.17493     0.00000
   -23.16393     0.00000
   -23.15293     0.00000
   -23.14193     0.00000
   -23.13093     0.00000
   -23.11893     0.00000
   -23.10793     0.00000
   -23.09693     0.00000
   -23.08593     0.00000
   -23.07493     0.00000
   -23.06393     0.00000
   -23.05293     0.00000
